"Prebivalstvo - izbrani kazalniki, obèine in naselja, Slovenija, letno"

"OBÈINA/NASELJE"	"2024 Prebivalstvo - SKUPAJ"
"013044 Ponikve"	26
"013045 Rakek"	2199
"013046 Rakov Škocjan"	13
"013047 Ravne"	30
"013048 Reparje"	8
"013049 Rudolfovo"	3
"013050 Selšèek"	146
"013051 Slivice"	189
"013052 Slugovo"	17
"013053 Stražišèe"	15
"013054 Sveti Vid"	53
"013055 Šèurkovo"	0
"013056 Štrukljeva vas"	35
"013057 Tavžlje"	8
"013058 Topol pri Begunjah"	68
"013059 Unec"	632
"013060 Zahrib"	5
"013061 Zala"	16
"013062 Zelše"	104
"013063 Zibovnik"	0
"013064 Žerovnica"	183
"013065 Župeno"	23
"014 CERKNO"	4452
"014001 Bukovo"	162
"014002 Cerkljanski Vrh"	51
"014003 Cerkno"	1374
"014004 Èeplez"	78
"014005 Dolenji Novaki"	233
"014006 Gorenji Novaki"	217
"014007 Gorje"	87
"014008 Jagršèe"	30
"014009 Jazne"	118
"014010 Jesenica"	72
"014011 Labinje"	77
"014012 Lazec"	120
"014013 Orehek"	61
"014014 Otalež"	121
"014015 Planina pri Cerknem"	127
"014016 Plužnje"	102
"014017 Poèe"	98
"014018 Podlanišèe"	144
"014019 Podpleèe"	28
"014020 Police"	17
"014021 Poljane"	59
"014022 Ravne pri Cerknem"	183
"014023 Reka"	74
"014024 Straža"	117
"014025 Šebrelje"	280
"014026 Trebenèe"	91
"014027 Zakojca"	40
"014028 Zakriž"	180
"014029 Laznica"	40
"014030 Travnik"	71
"015 ÈRENŠOVCI"	3928
"015002 Èrenšovci"	1112
"015003 Dolnja Bistrica"	541
"015004 Gornja Bistrica"	736
"015006 Srednja Bistrica"	428
"015007 Trnje"	559
"015009 Žižki"	552
"016 ÈRNA NA KOROŠKEM"	3061
"016001 Bistra"	76
"016002 Èrna na Koroškem"	2017
"016003 Javorje"	144
"016004 Jazbina"	36
"016005 Koprivna"	119
"016006 Ludranski Vrh"	94
"016007 Podpeca"	183
"016008 Topla"	36
"016009 Žerjav"	356
"017 ÈRNOMELJ"	14232
"017001 Adlešièi"	110
"017002 Balkovci"	46
"017003 Bedenj"	68
"017004 Belèji Vrh"	94
"017005 Bistrica"	1
"017006 Blatnik pri Èrnomlju"	146
"017007 Bojanci"	80
"017008 Brdarci"	35
"017009 Breg pri Sinjem Vrhu"	0
"017010 Breznik"	23
"017011 Butoraj"	131
"017012 Cerkvišèe"	58
"017013 Èrešnjevec pri Dragatušu"	5
"017014 Èrnomelj"	5473
"017015 Èudno selo"	98
"017016 Dalnje Njive"	15
"017017 Damelj"	35
"017018 Deèina"	3
"017019 Desinec"	66
"017020 Deskova vas"	34
"017021 Doblièe"	148
"017022 Doblièka Gora"	66
"017023 Dolenja Podgora"	10
"017024 Dolenja vas pri Èrnomlju"	67
"017025 Dolenjci"	83
"017026 Dolenji Radenci"	21
"017027 Dolenji Suhor pri Vinici"	39
"017028 Dolnja Paka"	38
"017029 Draga pri Sinjem Vrhu"	16
"017030 Dragatuš"	224
"017031 Dragoši"	20
"017032 Dragovanja vas"	105
"017033 Drenovec"	133
"017034 Drežnik"	36
"017035 Fuèkovci"	38
"017036 Golek"	38
"017037 Golek pri Vinici"	56
"017038 Gorenja Podgora"	22
"017039 Gorenjci pri Adlešièih"	47
"017040 Gorenji Radenci"	30
"017041 Gorica"	10
"017042 Gornja Paka"	26
"017043 Gornji Suhor pri Vinici"	52
"017044 Griblje"	328
"017045 Griè pri Doblièah"	84
"017046 Hrast pri Vinici"	176
"017047 Jankovièi"	47
"017048 Jelševnik"	123
"017049 Jerneja vas"	55
"017050 Kanižarica"	592
"017051 Knežina"	30
"017053 Kot ob Kolpi"	1
"017054 Kovaèa vas"	20
"017055 Kovaèji Grad"	4
"017056 Kvasica"	44
"017057 Lokve"	530
"017058 Mala Lahinja"	23
"017059 Mala sela"	19
"017060 Mali Nerajec"	47
"017061 Marindol"	93
"017062 Mavrlen"	87
"017063 Mihelja vas"	41
"017064 Miklarji"	0
"017065 Milièi"	21
"017066 Moèile"	10
"017067 Naklo"	49
"017068 Nova Lipa"	80
"017069 Obrh pri Dragatušu"	96
"017070 Ogulin"	37
"017071 Otovec"	49
"017072 Paunovièi"	29
"017073 Perudina"	60
"017074 Petrova vas"	102
"017075 Pobrežje"	11
"017076 Podklanec"	83
"017077 Podlog"	63
"017078 Prelesje"	17
"017079 Preloka"	98
"017080 Pribinci"	47
"017081 Purga"	24
"017082 Pusti Gradec"	27
"017083 Rodine"	133
"017084 Rožanec"	51
"017085 Rožiè Vrh"	50
"017086 Ruèetna vas"	140
"017087 Seèje selo"	109
"017088 Sela pri Dragatušu"	76
"017089 Sela pri Otovcu"	62
"017090 Sinji Vrh"	76
"017091 Sodevci"	34
"017092 Srednji Radenci"	27
"017093 Stara Lipa"	89
"017094 Stari trg ob Kolpi"	84
"017095 Stražnji Vrh"	196
"017096 Svibnik"	103
"017097 Šipek"	22
"017098 Špeharji"	12
"017099 Talèji Vrh"	31
"017100 Tanèa Gora"	233
"017101 Tribuèe"	309
"017102 Tušev Dol"	72
"017103 Uèakovci"	111
"017104 Velika Lahinja"	41
"017105 Velika sela"	25
"017106 Veliki Nerajec"	75
"017107 Vinica"	251
"017108 Vojna vas"	114
"017109 Vranovièi"	99
"017110 Vrhovci"	62
"017111 Vukovci"	35
"017112 Zagozdac"	20
"017113 Zajèji Vrh"	12
"017114 Zapudje"	77
"017115 Zastava"	20
"017116 Zilje"	141
"017117 Zorenci"	22
"017118 Žunièi"	42
"017119 Kot pri Damlju"	9
"017120 Selce pri Špeharjih"	2
"017121 Hrib"	28
"017122 Rim"	21
"017123 Pavièièi"	23
"018 DESTRNIK"	2694
"018004 Desenci"	36
"018005 Destrnik"	197
"018006 Doliè"	162
"018008 Drstelja"	231
"018010 Gomila"	75
"018011 Gomilci"	67
"018013 Janežovci"	110
"018014 Janežovski Vrh"	268
"018015 Jiršovci"	238
"018016 Levanjci"	146
"018018 Loèki Vrh"	139
"018020 Placar"	276
"018024 Strmec pri Destrniku"	48
"018025 Svetinci"	153
"018028 Vintarovci"	406
"018030 Zasadi"	56
"018031 Zgornji Velovlek"	86
"019 DIVAÈA"	4501
"019001 Barka"	96
"019002 Betanja"	11
"019003 Brežec pri Divaèi"	24
"019004 Dane pri Divaèi"	66
"019005 Divaèa"	1923
"019006 Dolenja vas"	163
"019007 Dolnje Ležeèe"	256
"019008 Dolnje Vreme"	121
"019009 Famlje"	141
"019010 Gabrèe"	43
"019011 Gorièe pri Famljah"	30
"019012 Gornje Ležeèe"	44
"019013 Gornje Vreme"	109
"019014 Gradišèe pri Divaèi"	20
"019015 Kaèièe - Pared"	117
"019016 Kozjane"	14
"019017 Laže"	86
"019018 Matavun"	44
"019019 Mislièe"	35
"019020 Naklo"	56
"019022 Otošèe"	19
"019023 Podgrad pri Vremah"	21
"019024 Potoèe"	48
"019025 Senadole"	75
"019026 Senožeèe"	662
"019027 Škocjan"	8
"019028 Škoflje"	106
"019029 Vareje"	34
"019030 Vatovlje"	16
"019031 Vremski Britof"	61
"019032 Zavrhek"	52
"020 DOBREPOLJE"	3934
"020001 Bruhanja vas"	127
"020002 Cesta"	270
"020003 Èetež pri Strugah"	69
"020004 Hoèevje"	178
"020005 Kolenèa vas"	41
"020006 Kompolje"	492
"020007 Lipa"	66
"020008 Mala vas"	139
"020009 Paka"	24
"020010 Podgora"	116
"020011 Podgorica"	62
"020012 Podpeè"	130
"020013 Podtabor"	85
"020015 Ponikve"	521
"020016 Potiskavec"	45
"020017 Predstruge"	266
"020018 Pri Cerkvi - Struge"	65
"020019 Rapljevo"	59
"020021 Tisovec"	43
"020022 Tržiè"	19
"020023 Videm"	620
"020024 Vodice"	20
"020026 Zagorica"	221
"020027 Zdenska vas"	256
"021 DOBROVA - POLHOV GRADEC"	8039
"021001 Babna Gora"	224
"021002 Belica"	38
"021003 Brezje pri Dobrovi"	476
"021004 Briše pri Polhovem Gradcu"	161
"021005 Butajnova"	251
"021006 Èrni Vrh"	276
"021007 Dobrova"	938
"021008 Dolenja vas pri Polhovem Gradcu"	277
"021009 Draževnik"	141
"021010 Dvor pri Polhovem Gradcu"	157
"021011 Gabrje"	513
"021013 Hrastenice"	31
"021014 Hruševo"	551
"021015 Komanija"	85
"021019 Log pri Polhovem Gradcu"	21
"021020 Osredek pri Dobrovi"	90
"021021 Planina nad Horjulom"	127
"021023 Podreber"	193
"021024 Podsmreka"	461
"021025 Polhov Gradec"	649
"021026 Praproèe"	105
"021027 Pristava pri Polh. Gradcu"	124
"021028 Razori"	104
