"Prebivalstvo - izbrani kazalniki, obèine in naselja, Slovenija, letno"

"OBÈINA/NASELJE"	"2024 Prebivalstvo - SKUPAJ"
"052025 Podblica"	114
"052026 Podreèa"	585
"052027 Povlje"	58
"052028 Praše"	236
"052029 Predoslje"	999
"052030 Pševo"	112
"052031 Rakovica"	94
"052032 Spodnja Besnica"	904
"052033 Spodnje Bitnje"	283
"052034 Srakovlje"	102
"052035 Srednja vas - Gorièe"	85
"052036 Srednje Bitnje"	641
"052037 Suha pri Predosljah"	225
"052038 Sveti Jošt nad Kranjem"	0
"052039 Šutna"	465
"052040 Tatinec"	72
"052041 Tenetiše"	439
"052042 Trstenik"	455
"052043 Zabukovje"	77
"052044 Zalog"	142
"052045 Zgornja Besnica"	835
"052046 Zgornje Bitnje"	1674
"052047 Žablje"	38
"052048 Žabnica"	311
"052049 Hrastje"	1054
"053 KRANJSKA GORA"	5247
"053001 Belca"	161
"053002 Dovje"	648
"053003 Gozd Martuljek"	641
"053004 Kranjska Gora"	1512
"053005 Log"	92
"053006 Mojstrana"	1076
"053007 Podkoren"	385
"053008 Rateèe"	643
"053009 Srednji Vrh"	29
"053010 Zgornja Radovna"	60
"054 KRŠKO"	26019
"054001 Anovec"	91
"054002 Anže"	105
"054003 Apnenik pri Velikem Trnu"	51
"054004 Ardro pod Velikim Trnom"	48
"054005 Ardro pri Raki"	79
"054006 Armeško"	180
"054008 Brege"	225
"054009 Brestanica"	891
"054010 Brezje pri Dovškem"	115
"054011 Brezje pri Raki"	46
"054012 Brezje pri Senušah"	88
"054013 Brezje v Podboèju"	33
"054014 Brezovica v Podboèju"	42
"054015 Brezovska Gora"	83
"054016 Brlog"	14
"054017 Brod v Podboèju"	114
"054018 Buèerca"	82
"054019 Celine"	40
"054020 Cesta"	69
"054021 Cirje"	85
"054023 Èrešnjice nad Pijavškim"	27
"054024 Èretež pri Krškem"	33
"054026 Dalce"	8
"054027 Dedni Vrh"	10
"054029 Dobrava ob Krki"	96
"054030 Dobrava pod Rako"	20
"054032 Dobrova"	173
"054033 Dol"	25
"054034 Dolenja Lepa vas"	10
"054035 Dolenja vas pri Krškem"	202
"054036 Dolenja vas pri Raki"	76
"054037 Dolenji Leskovec"	267
"054038 Dolga Raka"	61
"054041 Dovško"	230
"054042 Drenovec pri Leskovcu"	69
"054043 Drnovo"	414
"054044 Dunaj"	26
"054045 Frluga"	6
"054047 Gmajna"	169
"054048 Golek"	121
"054049 Goli Vrh"	16
"054050 Gora"	99
"054051 Gorenja Lepa vas"	46
"054052 Gorenja vas pri Leskovcu"	121
"054053 Gorenje Dole"	2
"054054 Gorenji Leskovec"	91
"054055 Gorica"	151
"054056 Gorica pri Raztezu"	41
"054058 Gornje Pijavško"	69
"054059 Gradec"	12
"054060 Gradišèe pri Raki"	4
"054061 Gradnje"	22
"054063 Gržeèa vas"	96
"054064 Gunte"	27
"054065 Hrastek"	32
"054066 Ivandol"	57
"054069 Jelenik"	56
"054070 Jelše"	135
"054071 Jelševec"	6
"054072 Kalce"	35
"054073 Kalce - Naklo"	168
"054074 Kališovec"	53
"054076 Kobile"	30
"054078 Koèno"	13
"054079 Koprivnica"	122
"054081 Koritnica"	27
"054082 Kostanjek"	135
"054084 Kremen"	259
"054085 Krško"	6884
"054086 Kržišèe"	60
"054087 Leskovec pri Krškem"	1160
"054088 Libelj"	16
"054089 Libna"	196
"054090 Loke"	81
"054091 Lokve"	80
"054092 Lomno"	81
"054095 Mali Kamen"	266
"054096 Mali Koren"	34
"054097 Mali Podlog"	120
"054098 Mali Trn"	31
"054099 Malo Mraševo"	139
"054100 Mikote"	56
"054101 Mladje"	24
"054102 Mrèna sela"	174
"054103 Mrtvice"	208
"054104 Nemška Gora"	21
"054105 Nemška vas"	25
"054106 Nova Gora"	95
"054108 Osredek pri Trški Gori"	47
"054110 Pesje"	97
"054111 Pijana Gora"	11
"054112 Planina pri Raki"	69
"054113 Planina v Podboèju"	30
"054114 Pleterje"	193
"054115 Podboèje"	336
"054116 Podlipa"	48
"054118 Podulce"	134
"054119 Površje"	75
"054120 Premagovce"	14
"054121 Presladol"	144
"054122 Pristava ob Krki"	32
"054123 Pristava pod Rako"	8
"054124 Pristava pri Leskovcu"	120
"054125 Prušnja vas"	43
"054126 Raka"	343
"054127 Ravne pri Zdolah"	208
"054128 Ravni"	69
"054129 Ravno"	67
"054130 Raztez"	74
"054131 Reštanj"	217
"054132 Rožno"	246
"054135 Sela pri Raki"	113
"054136 Selce pri Leskovcu"	52
"054137 Selo"	13
"054138 Senovo"	2232
"054139 Senožete"	12
"054140 Senuše"	159
"054142 Slivje"	24
"054143 Smeèice"	44
"054144 Smednik"	85
"054145 Spodnja Libna"	77
"054146 Spodnje Dule"	67
"054147 Spodnje Pijavško"	12
"054148 Spodnji Stari Grad"	263
"054149 Srednje Arto"	16
"054150 Srednje Pijavško"	7
"054151 Sremiè"	174
"054152 Stari Grad"	199
"054153 Stari Grad v Podboèju"	20
"054154 Stolovnik"	254
"054155 Stranje"	82
"054156 Straža pri Krškem"	35
"054157 Straža pri Raki"	137
"054158 Strmo Rebro"	12
"054159 Šedem"	142
"054160 Šutna"	128
"054161 Trška Gora"	192
"054162 Velika vas pri Krškem"	280
"054164 Veliki Dol"	142
"054165 Veliki Kamen"	192
"054166 Veliki Koren"	0
"054167 Veliki Podlog"	269
"054168 Veliki Trn"	44
"054169 Veliko Mraševo"	269
"054170 Veniše"	257
"054171 Videm"	7
"054172 Vihre"	161
"054173 Volovnik"	45
"054174 Vrbina"	7
"054176 Vrh pri Površju"	38
"054177 Vrhulje"	30
"054180 Zabukovje pri Raki"	52
"054181 Zaloke"	66
"054182 Zdole"	284
"054183 Žabjek v Podboèju"	53
"054184 Žadovinek"	124
"054185 Ženje"	39
"054186 Kerinov Grm"	284
"055 KUNGOTA"	5032
"055001 Ciringa"	90
"055002 Gradiška"	1295
"055003 Grušena"	114
"055004 Jedlovnik"	101
"055005 Jurski Vrh"	103
"055006 Kozjak nad Pesnico"	577
"055007 Pesnica"	127
"055008 Plaè"	139
"055009 Plintovec"	715
"055010 Podigrac"	72
"055011 Rošpoh - del"	345
"055012 Slatina"	70
"055013 Slatinski Dol"	196
"055014 Spodnje Vrtièe"	165
"055015 Sveèina"	136
"055016 Špiènik"	95
"055017 Vršnik"	129
"055018 Zgornja Kungota"	507
"055019 Zgornje Vrtièe"	56
"056 KUZMA"	1625
"056001 Doliè"	376
"056003 Gornji Slaveèi"	431
"056007 Kuzma"	471
"056008 Matjaševci"	167
"056011 Trdkova"	180
"057 LAŠKO"	13002
"057001 Belovo"	190
"057002 Blatni Vrh"	74
"057003 Brezno"	90
"057004 Brodnice"	32
"057005 Brstnik"	80
"057006 Brstovnica"	64
"057007 Bukovca"	27
"057008 Curnovec"	23
"057009 Debro"	153
"057010 Doblatina"	41
"057011 Dol pri Laškem"	35
"057012 Gabrno"	56
"057013 Globoko"	172
"057014 Govce"	11
"057015 Gozdec"	47
"057016 Graènica"	29
"057017 Harje"	121
"057018 Huda Jama"	68
"057019 Jagoèe"	155
"057020 Jurklošter"	64
"057021 Kladje"	21
"057022 Klenovo"	58
"057023 Konc"	21
"057024 Kuretno"	52
"057025 Lahomno"	217
"057026 Lahomšek"	104
"057027 Lahov Graben"	136
"057028 Laška vas"	45
"057029 Laško"	3328
"057030 Laziše"	86
"057031 Leskovca"	92
"057032 Lipni Dol"	31
"057033 Lokavec"	164
"057034 Lože"	85
"057035 Maèkovec"	28
"057036 Mala Breza"	201
"057037 Male Grahovše"	34
"057038 Marija Gradec"	292
"057039 Marijina vas"	92
"057040 Modriè"	12
"057041 Mrzlo Polje"	59
"057043 Obrežje pri Zidanem Mostu"	130
"057044 Ojstro"	99
"057045 Olešèe"	261
"057046 Padež"	55
"057047 Paneèe"	103
"057048 Plazovje"	31
"057049 Polana"	176
"057050 Povèeno"	40
"057051 Požnica"	62
"057052 Radoblje"	112
"057053 Reka"	159
"057054 Rifengozd"	177
"057055 Rimske Toplice"	820
"057056 Sedraž"	177
"057057 Selo nad Laškim"	39
"057058 Senožete"	45
"057059 Sevce"	68
"057060 Slivno"	54
"057061 Spodnja Reèica"	608
"057062 Stopce"	25
"057063 Strensko"	51
"057064 Strmca"	407
"057065 Suhadol"	28
"057066 Šentrupert"	384
"057067 Širje"	36
"057068 Škofce"	32
"057069 Šmihel"	39
"057070 Šmohor"	23
"057071 Tevèe"	188
"057072 Tovsto"	122
"057073 Trnov Hrib"	50
"057074 Trnovo"	84
"057075 Trobni Dol"	148
"057076 Trojno"	56
"057077 Udmat"	56
"057078 Velike Gorelce"	72
"057079 Velike Grahovše"	151
"057080 Veliko Širje"	273
"057081 Vodiško"	39
"057082 Vrh nad Laškim"	124
"057083 Zabrež"	11
"057084 Zgornja Reèica"	400
"057085 Zidani Most"	197
"057086 Žigon"	100
"058 LENART"	8591
"058008 Èrmljenšak"	203
"058009 Dolge Njive"	162
"058015 Gradenšak"	31
"058016 Hrastovec v Slov. goricah"	436
"058025 Lenart v Slov. goricah"	3436
"058028 Lormanje"	162
"058030 Moèna"	293
"058031 Nadbišec"	79
"058036 Radehova"	233
"058037 Rogoznica"	114
"058039 Selce"	325
"058044 Spodnja Volièina"	733
"058045 Spodnje Partinje"	126
"058048 Spodnji Porèiè"	244
"058049 Spodnji Žerjavci"	335
"058053 Straže"	80
"058057 Šetarova"	55
"058063 Vinièka vas"	148
"058064 Zamarkova"	155
"058065 Zavrh"	410
"058070 Zgornja Volièina"	566
"058075 Zgornji Žerjavci"	265
"059 LENDAVA/LENDVA"	10180
"059001 Banuta/Banuta"	63
"059002 Benica"	65
"059003 Brezovec - del"	-
"059004 Èentiba/Csente"	783
"059006 Dolga vas/Hosszufalu"	612
"059007 Dolgovaške Gorice/Hosszufaluhegy"	339
"059008 Dolina pri Lendavi/Volgyifalu"	351
"059009 Dolnji Lakoš/Alsolakos"	230
"059010 Gaberje/Gyertyanos"	480
"059011 Genterovci/Gonterhaza"	158
"059012 Gornji Lakoš/Felsolakos"	362
"059013 Hotiza"	741
"059014 Kamovci/Kamahaza"	101
"059015 Kapca/Kapca"	427
"059016 Kot/Kot"	117
"059017 Lendava/Lendva"	2818
"059018 Lendavske Gorice/Lendvahegy"	652
"059019 Mostje/Hidveg"	327
"059020 Petišovci/Peteshaza"	761
"059021 Pince/Pince"	208
"059022 Pince - Marof/Pince - Major"	73
"059023 Radmožanci/Radamos"	229
"059025 Trimlini/Harmasmalom"	283
"060 LITIJA"	15834
"060001 Bitièe"	52
"060002 Boltija"	36
"060003 Borovak pri Polšniku"	16
"060004 Breg pri Litiji"	195
"060005 Brezje pri Kumpolju"	4
"060006 Brezovo"	91
"060007 Brglez"	15
"060010 Cirkuše"	35
"060011 Èateška Gora"	23
"060012 Èeplje"	8
"060014 Dobovica"	40
"060015 Dole pri Litiji"	107
"060016 Dolgo Brdo"	33
"060020 Gabrovka"	243
"060021 Gabrska Gora"	56
"060022 Gobnik"	138
"060023 Golišèe"	278
"060024 Gorenje Jelenje"	10
"060025 Zgornji Log"	158
"060026 Gornje Ravne"	24
"060031 Gradišèe - K. o. Št. Lovrenc"	36
"060033 Hohovica"	23
"060034 Hude Ravne"	13
"060039 Javorje pri Gabrovki"	32
"060041 Jesenje"	104
"060042 Jevnica"	444
"060044 Ježevec"	13
"060046 Kal pri Dolah"	46
"060047 Kamni Vrh"	51
"060049 Kandrše - del"	3
"060050 Klanec pri Gabrovki"	32
"060051 Klenik"	54
"060052 Konj"	103
"060053 Konjšica - del"	119
"060056 Kresnice"	728
"060057 Kresniške Poljane"	354
"060058 Kresniški Vrh"	267
"060059 Kržišèe pri Èatežu"	17
"060060 Laze pri Gobniku"	38
"060061 Laze pri Vaèah"	39
"060063 Leše"	55
"060065 Litija"	6710
"060066 Ljubež v Lazih"	11
"060067 Lukovec"	26
"060069 Mala Goba"	28
"060071 Mala sela"	37
"060073 Mamolj"	135
"060076 Moravèe pri Gabrovki"	224
"060077 Moravška Gora"	122
"060079 Nova Gora"	61
"060081 Okrog"	17
"060082 Peèice"	26
"060083 Podbukovje pri Vaèah"	31
"060084 Podpeè pod Skalo"	21
"060086 Podšentjur"	128
"060088 Polšnik"	95
"060089 Ponovièe"	231
"060090 Potok pri Vaèah"	95
"060091 Prelesje"	26
"060093 Prevale"	10
"060094 Preveg"	30
"060095 Preženjske Njive"	17
"060098 Radgonica"	5
"060099 Ravne"	33
"060103 Renke"	33
"060104 Ribèe"	193
"060106 Ržišèe"	80
"060107 Sava"	317
"060108 Selce"	6
"060111 Slavina"	20
"060112 Slivna"	130
"060114 Spodnje Jelenje"	27
"060115 Spodnji Hotiè"	294
"060116 Spodnji Log"	225
"060118 Stranski Vrh"	59
"060119 Strmec"	26
"060120 Suhadole"	12
"060122 Širmanski Hrib"	37
"060123 Široka Set"	30
"060126 Šumnik"	26
"060127 Tenetiše"	176
"060128 Tepe"	212
"060129 Tihaboj"	110
"060130 Tlaka"	36
"060131 Vaèe"	421
"060132 Velika Goba"	26
"060134 Velika Preska"	55
"060136 Veliki Vrh pri Litiji"	179
"060137 Vernek"	57
"060141 Vodice pri Gabrovki"	43
"060143 Vovše"	17
"060145 Zagozd"	55
"060147 Zapodje"	16
"060148 Zavrh"	32
"060150 Zglavnica"	30
"060152 Zgornja Jevnica"	55
"060153 Zgornji Hotiè"	338
"060154 Tolsti Vrh"	24
"060157 Magolnik"	25
"060158 Sopota"	15
"060159 Kumpolje"	10
"060160 Pogonik"	5
"060161 Dobje"	7
"060162 Bistrica"	28
"060163 Berinjek"	9
"060164 Jelenska Reber"	47
"060165 Zagorica"	39
"061 LJUBLJANA"	297575
"061001 Besnica"	233
"061002 Brezje pri Lipoglavu"	108
"061003 Èešnjica"	136
"061004 Èrna vas"	1140
"061005 Dolgo Brdo"	53
"061006 Dvor"	158
"061007 Gabrje pri Janèah"	111
"061008 Janèe"	16
"061009 Javor"	184
"061010 Lipe"	92
"061011 Ljubljana"	288382
"061012 Mali Lipoglav"	321
"061013 Mali Vrh pri Prežganju"	116
"061014 Malo Trebeljevo"	200
"061015 Medno"	527
"061016 Pance"	102
"061017 Podgrad"	285
"061018 Podlipoglav"	211
"061019 Podmolnik"	528
"061020 Prežganje"	140
"061021 Rašica"	183
"061022 Ravno Brdo"	61
"061023 Repèe"	64
"061024 Sadinja vas"	456
"061025 Selo pri Pancah"	39
"061026 Spodnje Gameljne"	675
"061027 Srednje Gameljne"	701
"061028 Stanežièe"	760
"061029 Šentpavel"	128
"061030 Toško Èelo"	27
"061031 Tuji Grm"	82
"061032 Veliki Lipoglav"	43
"061033 Veliko Trebeljevo"	118
"061034 Vnajnarje"	123
"061035 Volavlje"	224
"061036 Zagradišèe"	82
"061037 Zgornja Besnica"	140
"061038 Zgornje Gameljne"	626
"062 LJUBNO"	2512
"062001 Juvanje"	134
"062002 Ljubno ob Savinji"	1016
"062003 Meliše"	51
"062004 Okonina"	208
"062005 Planina"	81
"062006 Primož pri Ljubnem"	157
"062007 Radmirje"	447
"062008 Savina"	197
"062009 Ter"	221
"063 LJUTOMER"	11000
"063001 Babinci"	286
"063005 Bodislavci"	127
"063007 Branoslavci"	163
"063009 Buèkovci"	117
"063011 Cezanjevci"	226
"063012 Cuber"	71
"063013 Cven"	542
"063014 Desnjak"	118
"063016 Drakovci"	255
"063019 Globoka"	208
"063020 Godemarci"	88
"063022 Gresovšèak"	93
"063023 Grlava"	113
"063025 Ilovci"	87
"063026 Jeruzalem"	49
"063030 Krapje"	273
"063031 Krištanci"	54
"063033 Kuršinci"	140
"063034 Ljutomer"	3256
"063037 Mala Nedelja"	95
"063038 Mekotnjak"	176
"063039 Moravci v Slov. goricah"	353
"063040 Mota"	307
"063041 Noršinci pri Ljutomeru"	215
"063042 Nunska Graba"	144
"063043 Plešivica"	71
"063044 Podgradje"	264
"063045 Precetinci"	147
"063046 Presika"	124
"063047 Pristava"	220
"063048 Radomerje"	184
"063049 Radomeršèak"	150
"063050 Radoslavci"	297
"063052 Rinèetova Graba"	91
"063053 Sitarovci"	33
"063054 Slamnjak"	161
"063055 Spodnji Kamenšèak"	372
"063056 Stara Cesta"	307
"063058 Stroèja vas"	506
"063060 Šalinci"	179
"063064 Vidanovci"	59
"063065 Vogrièevci"	130
"063068 Zgornji Kamenšèak"	111
"063069 Železne Dveri"	38
"064 LOGATEC"	15046
"064001 Grèarevec"	262
"064002 Hleviše"	52
"064003 Hlevni Vrh"	99
"064004 Hotedršica"	646
"064005 Jakovica"	72
"064006 Kalce"	754
"064007 Lavrovec"	132
"064008 Laze"	371
"064009 Logatec"	10144
"064010 Medvedje Brdo"	188
"064011 Novi Svet"	104
"064012 Petkovec"	499
"064013 Praprotno Brdo"	61
"064014 Ravnik pri Hotedršici"	61
"064015 Rovtarske Žibrše"	251
"064016 Rovte"	1008
"064017 Vrh Sv. Treh Kraljev"	53
"064018 Zaplana - del"	72
"064019 Žibrše"	217
"065 LOŠKA DOLINA"	3526
"065002 Babna Polica"	24
"065003 Babno Polje"	322
"065006 Dane"	96
"065007 Dolenje Poljane"	9
"065015 Iga vas"	216
"065017 Klance"	14
"065018 Knežja Njiva"	30
"065019 Kozarišèe"	221
"065024 Lož"	554
"065026 Markovec"	204
"065030 Nadlesk"	155
"065034 Podcerkev"	113
"065035 Podgora pri Ložu"	102
"065036 Podlož"	51
"065038 Pudob"	193
"065045 Stari trg pri Ložu"	757
"065053 Šmarata"	94
"065059 Viševek"	157
"065061 Vrh"	36
"065062 Vrhnika pri Ložu"	172
"065066 Sveta Ana pri Ložu"	6
"066 LOŠKI POTOK"	1803
"066001 Èrni Potok pri Dragi"	25
"066002 Draga"	76
"066003 Glažuta"	0
"066004 Hrib - Loški Potok"	396
"066005 Lazec"	34
"066006 Mali Log"	215
"066007 Novi Kot"	57
"066008 Podplanina"	21
"066009 Podpreska"	71
"066010 Pungert"	9
"066011 Retje"	385
"066012 Srednja vas pri Dragi"	49
"066013 Srednja vas - Loški Potok"	50
"066014 Stari Kot"	8
"066015 Šegova vas"	114
"066016 Trava"	14
"066017 Travnik"	279
"067 LUÈE"	1421
"067001 Konjski Vrh"	115
"067002 Krnica"	260
"067004 Luèe"	361
"067006 Podveža"	133
"067007 Podvolovljek"	224
"067008 Raduha"	220
"067011 Strmec"	108
"068 LUKOVICA"	6131
"068001 Blagovica"	96
"068002 Brdo pri Lukovici"	10
"068003 Brezovica pri Zlatem Polju"	31
"068004 Bršlenovica"	32
"068005 Èeplje"	93
"068006 Èešnjice"	15
"068007 Dupeljne"	72
"068008 Gabrje pod Špilkom"	31
"068009 Golèaj"	0
"068010 Gorenje"	27
"068011 Gradišèe pri Lukovici"	253
"068012 Hribi"	55
"068013 Imovica"	134
"068014 Javorje pri Blagovici"	36
"068015 Jelša"	52
"068016 Kompolje"	56
"068017 Koreno"	101
"068018 Korpe"	27
"068019 Krajno Brdo"	96
"068020 Krašnja"	373
"068021 Lipa"	16
"068022 Log"	26
"068023 Lukovica pri Domžalah"	396
"068024 Mala Lašna"	33
"068025 Mali Jelnik"	58
"068026 Obrše"	31
"068027 Podgora pri Zlatem Polju"	27
"068028 Podmilj"	64
"068029 Podsmreèje"	38
"068030 Poljane nad Blagovico"	13
"068031 Preserje pri Lukovici"	101
"068032 Preserje pri Zlatem Polju"	35
"068033 Prevalje"	57
"068034 Prevoje"	20
"068035 Prevoje pri Šentvidu"	832
"068036 Prilesje"	18
"068037 Prvine"	17
"068038 Rafolèe"	395
"068039 Selce"	33
"068040 Spodnje Koseze"	121
"068041 Spodnje Loke"	155
"068042 Spodnje Prapreèe"	270
"068043 Spodnji Petelinjek"	19
"068044 Straža"	22
"068045 Suša"	26
"068046 Šentožbolt"	44
"068047 Šentvid pri Lukovici"	271
"068048 Trnjava"	304
"068049 Trnovèe"	125
"068050 Trojane"	126
"068051 Uèak"	37
"068052 V Zideh"	63
"068053 Veliki Jelnik"	20
"068054 Videm pri Lukovici"	43
"068055 Vošce"	38
"068056 Vranke"	16
"068057 Vrba"	90
"068058 Vrh nad Krašnjo"	47
"068059 Vrhovlje"	94
"068060 Zavrh pri Trojanah"	52
"068061 Zgornje Loke"	114
"068062 Zgornje Prapreèe"	77
"068063 Zgornji Petelinjek"	29
"068064 Zlatenek"	53
"068065 Zlato Polje"	39
"068066 Žirovše"	36
"069 MAJŠPERK"	4011
"069001 Breg"	377
"069004 Doklece"	83
"069005 Dol pri Stopercah"	34
"069006 Grdina"	121
"069007 Janški Vrh"	49
"069008 Jelovice"	81
"069010 Koritno"	66
"069011 Kupèinji Vrh"	106
"069012 Lešje"	226
"069013 Majšperk"	612
"069014 Medvedce"	102
"069016 Naraplje"	100
"069017 Planjsko"	45
"069018 Podlože"	255
"069019 Preša"	76
"069020 Ptujska Gora"	415
"069021 Sestrže"	297
"069022 Sitež"	63
"069023 Skrblje"	77
"069024 Slape"	154
"069025 Spodnja Sveèa"	55
"069026 Staneèka vas"	81
"069027 Stogovci"	237
"069028 Stoperce"	177
"069029 Zgornja Sveèa"	66
"069031 Boleèka vas"	56
"070 MARIBOR"	113747
"070002 Bresternica"	1324
"070003 Celestrina"	284
"070006 Dogoše"	763
"070008 Gaj nad Mariborom"	210
"070009 Grušova"	75
"070012 Hrastje"	582
"070013 Hrenca"	150
"070014 Jelovec"	341
"070015 Kamnica"	1738
"070017 Laznica"	303
"070018 Limbuš"	2008
"070019 Maleènik"	501
"070020 Maribor"	97068
"070021 Meljski Hrib"	285
"070022 Metava"	302
"070024 Nebova"	122
"070026 Pekel"	177
"070027 Pekre"	1486
"070029 Poèehova"	462
"070032 Razvanje"	1399
"070033 Ribniško selo"	309
"070035 Rošpoh - del"	812
"070036 Ruperèe"	391
"070041 Srednje"	173
"070042 Šober"	234
"070043 Trèova"	710
"070044 Vinarje"	231
"070045 Vodole"	202
"070046 Vrhov Dol"	120
"070047 Za Kalvarijo"	184
"070049 Zgornji Slemen - del"	76
"070050 Zrkovci"	725
"071 MEDVODE"	17213
"071001 Belo"	56
"071002 Brezovica pri Medvodah"	21
"071003 Dol"	90
"071004 Dragoèajna"	351
"071005 Golo Brdo"	552
"071006 Gorièane"	527
"071007 Hraše"	481
"071008 Ladja"	192
"071009 Medvode"	5343
"071010 Moše"	291
"071011 Osolnik"	25
"071012 Rakovnik"	441
"071013 Senièica"	256
"071014 Setnica - del"	15
"071015 Smlednik"	596
"071016 Sora"	563
"071017 Spodnja Senica"	398
"071018 Spodnje Pirnièe"	821
"071019 Studenèice"	160
"071020 Tehovec"	29
"071021 Topol pri Medvodah"	181
"071022 Trnovec"	182
"071023 Valburga"	561
"071024 Vaše"	597
"071025 Verje"	565
"071026 Vikrèe"	419
"071027 Zavrh pod Šmarno goro"	228
"071028 Zbilje"	929
"071029 Zgornja Senica"	281
"071030 Zgornje Pirnièe"	1458
"071031 Žlebe"	604
"072 MENGEŠ"	8654
"072001 Dobeno"	317
"072002 Loka pri Mengšu"	887
"072003 Mengeš"	7253
"072004 Topole"	197
"073 METLIKA"	8439
"073001 Bereèa vas"	180
"073002 Boginja vas"	26
"073003 Bojanja vas"	119
"073004 Boldraž"	56
"073005 Boršt"	61
"073006 Božakovo"	131
"073007 Božiè Vrh"	9
"073008 Brezovica pri Metliki"	93
"073009 Bušinja vas"	120
"073010 Èurile"	151
"073011 Dole"	61
"073012 Dolnja Lokvica"	85
"073013 Dolnje Dobravice"	81
"073014 Dolnji Suhor pri Metliki"	78
"073015 Drage"	28
"073016 Dragomlja vas"	100
"073017 Drašièi"	202
"073018 Geršièi"	48
"073019 Gornja Lokvica"	174
"073020 Gornje Dobravice"	36
"073021 Gornji Suhor pri Metliki"	94
"073022 Grabrovec"	190
"073023 Gradac"	379
"073024 Grm pri Podzemlju"	47
"073025 Hrast pri Jugorju"	112
"073026 Jugorje pri Metliki"	49
"073027 Kamenica"	8
"073028 Kapljišèe"	28
"073029 Klošter"	83
"073030 Krasinec"	188
"073031 Krašnji Vrh"	13
"073032 Krivoglavice"	60
"073033 Križevska vas"	228
"073034 Krmaèina"	18
"073035 Maèkovec pri Suhorju"	6
"073036 Malo Lešèe"	28
"073037 Metlika"	3212
"073038 Mlake"	12
"073039 Okljuka"	13
"073040 Otok"	68
"073041 Podzemelj"	163
"073042 Prilozje"	34
"073043 Primostek"	149
"073044 Radoši"	5
"073045 Radovica"	283
"073046 Radovièi"	86
"073047 Rakovec"	51
"073048 Ravnace"	33
"073049 Rosalnice"	433
"073050 Sela pri Jugorju"	34
"073051 Slamna vas"	94
"073052 Svržaki"	111
"073053 Škemljevec"	26
"073054 Škrilje"	17
"073055 Trnovec"	100
"073056 Vidošièi"	31
"073057 Zemelj"	55
"073058 Želebej"	33
"073059 Železniki"	26
"074 MEŽICA"	3554
"074001 Breg"	63
"074002 Lom"	108
"074003 Mežica"	3120
"074004 Onkraj Meže"	79
"074005 Plat"	58
"074006 Podkraj pri Mežici"	126
"075 MIREN - KOSTANJEVICA"	5058
"075001 Bilje"	1277
"075002 Hudi Log"	33
"075003 Korita na Krasu"	40
"075004 Kostanjevica na Krasu"	327
"075005 Lipa"	107
"075006 Lokvica"	76
"075007 Miren"	1505
"075008 Nova vas"	61
"075009 Novelo"	51
"075010 Opatje selo"	486
"075011 Orehovlje"	479
"075012 Sela na Krasu"	157
"075013 Temnica"	164
"075014 Vojšèica"	232
"075015 Vrtoèe"	63
"076 MISLINJA"	4571
"076001 Dovže"	334
"076002 Gornji Doliè"	504
"076003 Kozjak"	401
"076004 Mala Mislinja"	206
"076005 Mislinja"	1856
"076006 Paka - del"	48
"076007 Razborca"	108
"076008 Srednji Doliè"	249
"076009 Šentilj pod Turjakom"	270
"076010 Tolsti Vrh pri Mislinji"	155
"076011 Završe"	440
"077 MORAVÈE"	5651
"077001 Èešnjice pri Moravèah"	270
"077002 Dešen"	109
"077003 Dole pod Sv. Trojico"	10
"077004 Dole pri Krašcah"	229
"077005 Drtija"	250
"077006 Dvorje"	53
"077007 Gabrje pod Limbarsko Goro"	46
"077008 Gora pri Peèah"	149
"077009 Gorica"	136
"077010 Gorièica pri Moravèah"	106
"077011 Hrastnik"	73
"077012 Hrib nad Ribèami"	40
"077013 Imenje"	115
"077014 Katarija"	51
"077016 Krašce"	101
"077017 Križate"	47
"077018 Limbarska Gora"	124
"077019 Moravèe"	972
"077020 Mošenik"	87
"077021 Negastrn"	110
"077022 Peèe"	233
"077023 Ples"	65
"077024 Podgorica pri Peèah"	57
"077025 Podstran"	69
"077026 Pogled"	62
"077027 Pretrž"	29
"077028 Prikrnica"	66
"077029 Rudnik pri Moravèah"	24
"077030 Selce pri Moravèah"	29
"077031 Selo pri Moravèah"	80
"077032 Serjuèe"	63
"077033 Soteska pri Moravèah"	88
"077034 Spodnja Dobrava"	52
"077035 Spodnja Javoršica"	91
"077036 Spodnji Prekar"	40
"077037 Spodnji Tuštanj"	119
"077038 Stegne"	200
"077039 Straža pri Moravèah"	56
"077040 Sveti Andrej"	65
"077041 Velika vas"	57
"077042 Vinje pri Moravèah"	80
"077043 Vrhpolje pri Moravèah"	287
"077045 Zalog pri Kresnicah"	38
"077046 Zalog pri Moravèah"	207
"077047 Zgornja Dobrava"	50
"077048 Zgornja Javoršica"	122
"077049 Zgornje Koseze"	111
"077050 Zgornji Prekar"	47
"077051 Zgornji Tuštanj"	86
"078 MORAVSKE TOPLICE"	5964
"078001 Andrejci"	211
"078002 Berkovci"	34
"078003 Bogojina"	551
"078004 Bukovnica"	43
"078005 Èikeèka vas/Csekefa"	67
"078006 Filovci"	509
"078007 Fokovci"	199
"078008 Ivanci"	232
"078009 Ivanjševci"	45
"078010 Ivanovci"	143
"078011 Kanèevci"	50
"078012 Krnci"	50
"078013 Lonèarovci"	46
"078014 Lukaèevci"	73
